name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
Defence Colony Builder Floor,"3 BHK Builder Floor in Defence Colony, South Delhi",₹16 Cr,"2,934 sqft",3 BHK,16.0,2934.0,3.0,54533.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹12 Cr,"2,934 sqft",3 BHK,12.0,2934.0,3.0,40900.0
"Defence Colony, South Delhi","4 BHK Builder Floor in Defence Colony, South Delhi",₹14 Cr,"2,520 sqft",4 BHK,14.0,2520.0,4.0,55556.0
"Defence Colony, South Delhi","4 BHK Builder Floor in Defence Colony, South Delhi",₹12.75 Cr,"3,024 sqft",4 BHK,12.75,3024.0,4.0,42163.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹8.15 Cr,"1,962 sqft",3 BHK,8.15,1962.0,3.0,41539.0
defance colony,"3 BHK Builder Floor in Defence Colony, South Delhi",₹8.25 Cr,"1,962 sqft",3 BHK,8.25,1962.0,3.0,42049.0
"Defence Colony, South Delhi","4 BHK Builder Floor in Defence Colony, South Delhi",₹15 Cr,"2,934 sqft",4 BHK,15.0,2934.0,4.0,51125.0
"Saket, Delhi, South Delhi","3 BHK Builder Floor in Saket, Delhi",₹6 Cr,"1,809 sqft",3 BHK,6.0,1809.0,3.0,33167.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹10.5 Cr,"2,970 sqft",4 BHK,10.5,2970.0,4.0,35354.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹9.4 Cr,"3,609 sqft",4 BHK,9.4,3609.0,4.0,26046.0
"Saket, Delhi, South Delhi","4 BHK Builder Floor in Saket, Delhi",₹7.75 Cr,"2,799 sqft",4 BHK,7.75,2799.0,4.0,27688.0
DDA Flats,"5 BHK Flat in Saket, Delhi",₹5.5 Cr,"2,600 sqft",5 BHK,5.5,2600.0,5.0,21154.0
DDA Flats,"3 BHK Flat in Saket, Delhi",₹5.25 Cr,"1,800 sqft",3 BHK,5.25,1800.0,3.0,29167.0
"Anand Niketan, Delhi, South Delhi","4 BHK Builder Floor in Anand Niketan, Delhi",₹17 Cr,"3,870 sqft",4 BHK,17.0,3870.0,4.0,43928.0
"Anand Niketan, Delhi, South Delhi","4 BHK Builder Floor in Anand Niketan, Delhi",₹18.5 Cr,"3,600 sqft",4 BHK,18.5,3600.0,4.0,51389.0
"Anand Niketan, Delhi, South Delhi","4 BHK Builder Floor in Anand Niketan, Delhi",₹20 Cr,"3,600 sqft",4 BHK,20.0,3600.0,4.0,55556.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.5 Cr,"2,790 sqft",4 BHK,8.5,2790.0,4.0,30466.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹9.5 Cr,"2,790 sqft",4 BHK,9.5,2790.0,4.0,34050.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹11 Cr,"2,790 sqft",4 BHK,11.0,2790.0,4.0,39427.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹15 Cr,"4,590 sqft",4 BHK,15.0,4590.0,4.0,32680.0
